application_id,prospect_id,application_date,decision_date,ao_id,branch_id,product,segment,requested_amount,monthly_income,tenor_months,application_status,processing_days
APP0000001,PR0000001,2026-01-29,2026-01-30,AO010,BR003,Kredit Payroll,Payroll,50000000,5948801,36,Approved,1
APP0000002,PR0000011,2026-02-11,2026-02-13,AO002,BR001,Kredit Payroll,Payroll,100000000,7152083,48,Approved,2
APP0000003,PR0000017,2026-06-24,2026-06-25,AO003,BR001,Kredit Konsumtif,Konsumtif,30000000,3500000,24,Approved,1
APP0000004,PR0000021,2025-09-12,2025-09-18,AO003,BR001,Kredit Produktif SME,SME,500000000,9427457,60,Approved,6
APP0000005,PR0000028,2026-01-03,2026-01-08,AO014,BR004,Kredit Payroll,Payroll,50000000,10779764,48,Approved,5
APP0000006,PR0000045,2025-07-21,2025-07-30,AO007,BR002,Kredit Konsumtif,Konsumtif,50000000,5884870,36,Approved,9
APP0000007,PR0000049,2025-10-24,2025-10-28,AO028,BR007,Kredit Mikro,Mikro,30000000,7915413,36,Approved,4
APP0000008,PR0000050,2026-06-07,2026-06-11,AO024,BR006,Kredit Mikro,Mikro,75000000,4742204,18,Approved,4
APP0000009,PR0000062,2025-09-13,2025-09-15,AO012,BR003,Kredit Konsumtif,Konsumtif,125000000,8749529,36,Approved,2
APP0000010,PR0000067,2026-01-15,2026-01-19,AO025,BR007,Kredit Konsumtif,Konsumtif,125000000,5030944,24,Approved,4
APP0000011,PR0000078,2026-03-12,2026-03-21,AO004,BR001,Kredit Payroll,Payroll,200000000,5863236,60,Approved,9
APP0000012,PR0000080,2026-04-28,2026-04-30,AO025,BR007,Kredit Mikro,Mikro,30000000,5558327,36,Rejected,2
APP0000013,PR0000083,2025-07-12,2025-07-15,AO001,BR001,Kredit Produktif SME,SME,100000000,29159570,24,Approved,3
APP0000014,PR0000086,2026-01-24,2026-01-27,AO008,BR002,Kredit Produktif SME,SME,500000000,30517515,24,Approved,3
APP0000015,PR0000088,2026-05-11,2026-05-17,AO008,BR002,Kredit Mikro,Mikro,75000000,5759470,12,Rejected,6
APP0000016,PR0000095,2026-04-28,2026-04-30,AO023,BR006,Kredit Produktif SME,SME,1000000000,14468887,24,Approved,2
APP0000017,PR0000096,2026-04-05,2026-04-07,AO022,BR006,Kredit Payroll,Payroll,150000000,9606503,60,Approved,2
APP0000018,PR0000106,2025-12-22,2025-12-23,AO011,BR003,Kredit Konsumtif,Konsumtif,100000000,7043464,24,Approved,1
APP0000019,PR0000118,2025-07-24,2025-07-25,AO017,BR005,Kredit Produktif SME,SME,200000000,24234040,24,Approved,1
APP0000020,PR0000130,2025-12-16,2025-12-21,AO009,BR003,Kredit Produktif SME,SME,150000000,21477522,48,Approved,5
