campaign_id,campaign_date,month,branch_id,source,campaign_type,campaign_name,ad_spend
CMP0000001,2025-07-02,2025-07-01,BR002,Instagram Ads,Digital,Instagram Ads - Jul-2025 - 07,4965000
CMP0000002,2025-07-18,2025-07-01,BR002,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 09,10400000
CMP0000003,2025-07-18,2025-07-01,BR001,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 09,12255000
CMP0000004,2025-07-03,2025-07-01,BR006,Instagram Ads,Digital,Instagram Ads - Jul-2025 - 04,9470000
CMP0000005,2025-07-24,2025-07-01,BR001,Telemarketing,Outbound,Telemarketing - Jul-2025 - 08,4905000
CMP0000006,2025-07-16,2025-07-01,BR001,Instagram Ads,Digital,Instagram Ads - Jul-2025 - 07,8820000
CMP0000007,2025-07-08,2025-07-01,BR007,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 04,14375000
CMP0000008,2025-07-16,2025-07-01,BR005,Walk-in,Organic/Branch,Walk-in - Jul-2025 - 01,610000
CMP0000009,2025-07-26,2025-07-01,BR002,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 03,9825000
CMP0000010,2025-07-28,2025-07-01,BR003,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 02,14660000
CMP0000011,2025-07-24,2025-07-01,BR006,WhatsApp,Digital,WhatsApp - Jul-2025 - 06,5320000
CMP0000012,2025-07-03,2025-07-01,BR003,Walk-in,Organic/Branch,Walk-in - Jul-2025 - 06,645000
CMP0000013,2025-07-06,2025-07-01,BR003,Referral,Organic/Referral,Referral - Jul-2025 - 09,1270000
CMP0000014,2025-07-03,2025-07-01,BR003,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 05,7230000
CMP0000015,2025-07-10,2025-07-01,BR005,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 02,9425000
CMP0000016,2025-07-28,2025-07-01,BR006,Instagram Ads,Digital,Instagram Ads - Jul-2025 - 09,5605000
