disbursement_id,application_id,prospect_id,disbursement_date,branch_id,ao_id,product,segment,disbursed_amount,interest_rate_pa,tenor_months
DSB0000001,APP0000001,PR0000001,2026-01-31,BR003,AO010,Kredit Payroll,Payroll,48500000,15.5,36
DSB0000002,APP0000002,PR0000011,2026-02-19,BR001,AO002,Kredit Payroll,Payroll,96500000,15.5,48
DSB0000003,APP0000003,PR0000017,2026-06-27,BR001,AO003,Kredit Konsumtif,Konsumtif,29000000,18.0,24
DSB0000004,APP0000004,PR0000021,2025-09-19,BR001,AO003,Kredit Produktif SME,SME,467500000,19.0,60
DSB0000005,APP0000005,PR0000028,2026-01-12,BR004,AO014,Kredit Payroll,Payroll,49000000,15.5,48
DSB0000006,APP0000006,PR0000045,2025-07-31,BR002,AO007,Kredit Konsumtif,Konsumtif,48000000,18.0,36
DSB0000007,APP0000008,PR0000050,2026-06-13,BR006,AO024,Kredit Mikro,Mikro,69500000,21.0,18
DSB0000008,APP0000009,PR0000062,2025-09-16,BR003,AO012,Kredit Konsumtif,Konsumtif,120000000,18.0,36
DSB0000009,APP0000010,PR0000067,2026-01-25,BR007,AO025,Kredit Konsumtif,Konsumtif,122500000,18.0,24
DSB0000010,APP0000011,PR0000078,2026-03-22,BR001,AO004,Kredit Payroll,Payroll,197500000,15.5,60
DSB0000011,APP0000013,PR0000083,2025-07-16,BR001,AO001,Kredit Produktif SME,SME,96000000,19.0,24
DSB0000012,APP0000014,PR0000086,2026-01-31,BR002,AO008,Kredit Produktif SME,SME,467500000,19.0,24
DSB0000013,APP0000016,PR0000095,2026-05-01,BR006,AO023,Kredit Produktif SME,SME,950000000,19.0,24
DSB0000014,APP0000018,PR0000106,2025-12-26,BR003,AO011,Kredit Konsumtif,Konsumtif,95000000,18.0,24
DSB0000015,APP0000019,PR0000118,2025-07-30,BR005,AO017,Kredit Produktif SME,SME,196500000,19.0,24
DSB0000016,APP0000020,PR0000130,2025-12-23,BR003,AO009,Kredit Produktif SME,SME,143500000,19.0,48
DSB0000017,APP0000022,PR0000137,2026-06-13,BR006,AO021,Kredit Produktif SME,SME,146000000,19.0,12
DSB0000018,APP0000023,PR0000142,2025-09-20,BR004,AO015,Kredit Payroll,Payroll,100000000,15.5,12
DSB0000019,APP0000026,PR0000155,2025-11-26,BR001,AO003,Kredit Konsumtif,Konsumtif,30000000,18.0,18
DSB0000020,APP0000027,PR0000158,2026-04-18,BR001,AO002,Kredit Konsumtif,Konsumtif,49500000,18.0,24
DSB0000021,APP0000028,PR0000160,2026-03-12,BR003,AO009,Kredit Produktif SME,SME,98500000,19.0,60
DSB0000022,APP0000029,PR0000161,2026-05-30,BR001,AO002,Kredit Konsumtif,Konsumtif,117500000,18.0,12
DSB0000023,APP0000030,PR0000183,2025-11-21,BR001,AO002,Kredit Mikro,Mikro,98000000,21.0,12
DSB0000024,APP0000033,PR0000186,2026-05-28,BR007,AO027,Kredit Mikro,Mikro,47000000,21.0,24
DSB0000025,APP0000034,PR0000189,2026-05-01,BR001,AO004,Kredit Konsumtif,Konsumtif,29500000,18.0,36
DSB0000026,APP0000035,PR0000193,2026-04-26,BR007,AO027,Kredit Konsumtif,Konsumtif,120000000,18.0,12
DSB0000027,APP0000039,PR0000215,2026-04-29,BR003,AO012,Kredit Konsumtif,Konsumtif,141500000,18.0,12
DSB0000028,APP0000040,PR0000231,2026-03-28,BR006,AO021,Kredit Konsumtif,Konsumtif,141000000,18.0,36
DSB0000029,APP0000041,PR0000234,2026-02-10,BR006,AO022,Kredit Payroll,Payroll,95000000,15.5,36
DSB0000030,APP0000044,PR0000255,2025-11-13,BR006,AO023,Kredit Mikro,Mikro,28000000,21.0,12
DSB0000031,APP0000045,PR0000256,2026-05-31,BR001,AO003,Kredit Mikro,Mikro,47000000,21.0,24
DSB0000032,APP0000046,PR0000260,2026-06-05,BR003,AO010,Kredit Produktif SME,SME,196000000,19.0,48
DSB0000033,APP0000047,PR0000270,2025-07-31,BR004,AO016,Kredit Konsumtif,Konsumtif,116500000,18.0,24
DSB0000034,APP0000048,PR0000271,2025-09-21,BR001,AO003,Kredit Payroll,Payroll,73000000,15.5,24
DSB0000035,APP0000052,PR0000291,2025-10-18,BR007,AO027,Kredit Mikro,Mikro,29000000,21.0,18
DSB0000036,APP0000053,PR0000307,2026-03-03,BR002,AO006,Kredit Konsumtif,Konsumtif,95000000,18.0,24
DSB0000037,APP0000055,PR0000328,2025-11-17,BR003,AO010,Kredit Mikro,Mikro,72500000,21.0,12
DSB0000038,APP0000057,PR0000332,2026-02-23,BR006,AO022,Kredit Konsumtif,Konsumtif,72500000,18.0,18
DSB0000039,APP0000059,PR0000344,2025-12-31,BR001,AO004,Kredit Mikro,Mikro,73500000,21.0,24
DSB0000040,APP0000060,PR0000353,2026-03-10,BR001,AO002,Kredit Konsumtif,Konsumtif,30000000,18.0,36
DSB0000041,APP0000061,PR0000355,2025-12-14,BR004,AO014,Kredit Payroll,Payroll,192000000,15.5,36
DSB0000042,APP0000062,PR0000359,2026-06-17,BR007,AO026,Kredit Mikro,Mikro,19500000,21.0,24
DSB0000043,APP0000063,PR0000363,2026-06-21,BR001,AO004,Kredit Payroll,Payroll,143000000,15.5,60
DSB0000044,APP0000064,PR0000369,2025-11-28,BR001,AO004,Kredit Mikro,Mikro,28000000,21.0,36
DSB0000045,APP0000065,PR0000374,2026-03-03,BR005,AO019,Kredit Produktif SME,SME,98000000,19.0,48
DSB0000046,APP0000066,PR0000375,2025-10-31,BR002,AO005,Kredit Payroll,Payroll,48500000,15.5,12
DSB0000047,APP0000068,PR0000389,2025-11-09,BR003,AO010,Kredit Payroll,Payroll,98000000,15.5,48
DSB0000048,APP0000069,PR0000390,2025-08-08,BR005,AO018,Kredit Payroll,Payroll,145500000,15.5,12
DSB0000049,APP0000070,PR0000400,2025-08-29,BR006,AO024,Kredit Konsumtif,Konsumtif,73500000,18.0,24
DSB0000050,APP0000072,PR0000405,2026-02-19,BR001,AO002,Kredit Konsumtif,Konsumtif,70000000,18.0,36
DSB0000051,APP0000074,PR0000429,2026-05-31,BR001,AO001,Kredit Mikro,Mikro,28000000,21.0,12
DSB0000052,APP0000075,PR0000434,2026-06-18,BR003,AO009,Kredit Mikro,Mikro,19500000,21.0,36
DSB0000053,APP0000077,PR0000445,2025-11-27,BR001,AO002,Kredit Payroll,Payroll,49500000,15.5,36
DSB0000054,APP0000078,PR0000449,2026-05-22,BR003,AO009,Kredit Konsumtif,Konsumtif,72500000,18.0,24
DSB0000055,APP0000079,PR0000453,2026-02-13,BR003,AO011,Kredit Payroll,Payroll,71000000,15.5,12
DSB0000056,APP0000080,PR0000468,2025-11-13,BR002,AO006,Kredit Mikro,Mikro,69500000,21.0,18
DSB0000057,APP0000081,PR0000481,2026-01-31,BR006,AO022,Kredit Konsumtif,Konsumtif,142000000,18.0,18
DSB0000058,APP0000082,PR0000482,2025-09-12,BR004,AO014,Kredit Konsumtif,Konsumtif,95000000,18.0,12
DSB0000059,APP0000084,PR0000484,2025-10-31,BR003,AO011,Kredit Mikro,Mikro,19000000,21.0,18
DSB0000060,APP0000086,PR0000498,2026-05-23,BR002,AO006,Kredit Produktif SME,SME,462500000,19.0,36
DSB0000061,APP0000087,PR0000517,2026-01-18,BR005,AO020,Kredit Payroll,Payroll,149000000,15.5,48
DSB0000062,APP0000091,PR0000529,2025-10-19,BR002,AO007,Kredit Payroll,Payroll,72500000,15.5,12
